0.000   0.305
0.294	0.305
0.441	0.305
0.470	0.306
0.529	0.306
0.558	0.307
0.588	0.308
0.617	0.310
0.647	0.312
0.676	0.314
0.705	0.317
0.735	0.321
0.764	0.326
0.793	0.332
0.823	0.339
0.852	0.348
0.882	0.360
0.911	0.380
0.940	0.418
0.970	0.474
0.999	0.540
1.029	0.600
1.058	0.610
1.087	0.615
1.117	0.618
1.146	0.619
1.175	0.620
1.205	0.619
1.322	0.600
1.469	0.564
1.616	0.536
1.763	0.512
1.910	0.490
2.057	0.470
2.204	0.451
2.351	0.434
2.498	0.417
2.645	0.402
2.792	0.387
2.939	0.374
3.233	0.351
3.526	0.331
3.820	0.313
4.114	0.296
4.408	0.283
4.702	0.270
4.996	0.260
5.290	0.256
5.583	0.256
5.877	0.256
100.0	0.256
